Id,Label,timeset,frequency,modularity_class
Look,Look,,577,21
Fashion Week,Fashion Week,,544,4
Laut Horoskop,Laut Horoskop,,524,4
Modetrend,Modetrend,,519,4
Week Paris Frühjahr,Week Paris Frühjahr,,519,4
Sterne,Sterne,,517,63
Jogginghose,Jogginghose,,515,27
Arbeit,Arbeit,,487,23
Glück,Glück,,485,4
mal,mal,,453,25
laut Horoskop,laut Horoskop,,434,4
Städte METAL HAMMER,Städte METAL HAMMER,,410,8
verraten,verraten,,406,24
Week Mailand Frühjahr,Week Mailand Frühjahr,,395,4
Bob,Bob,,377,21
Damen,Damen,,364,92
MenüLaut Horoskop,MenüLaut Horoskop,,345,4
Frisur,Frisur,,333,21
Oktober,Oktober,,330,4
Outfit,Outfit,,310,60
Job,Job,,309,57
Beauty Themen,Beauty Themen,,306,21
Sachen,Sachen,,305,8
Modetrends,Modetrends,,296,56
Fashion Week Mailand,Fashion Week Mailand,,295,4
Top oder Flop,Top oder Flop,,295,4
Accessoires,Accessoires,,284,3
Tee,Tee,,273,76
Genuss,Genuss,,273,22
BESTE Woche,BESTE Woche,,268,4
Modelle,Modelle,,260,56
Gulasch,Gulasch,,251,15
Styles,Styles,,245,89
Künstler,Künstler,,244,25
Sachen Liebe,Sachen Liebe,,231,8
Hinweis der Redaktion,Hinweis der Redaktion,,228,27
Jackpot,Jackpot,,225,4
Fashion Week Paris,Fashion Week Paris,,221,4
Frage,Frage,,221,24
Leggings,Leggings,,209,27
Parfum,Parfum,,208,63
Redaktion,Redaktion,,201,95
Haarfarben,Haarfarben,,191,21
nexx GmbH aktivieren,nexx GmbH aktivieren,,188,4
Jahreshoroskop,Jahreshoroskop,,186,8
Suppen,Suppen,,184,54
Skinny,Skinny,,184,27
zeigen,zeigen,,182,56
Archiv,Archiv,,179,4
Artikel enthält,Artikel enthält,,173,27
Fall,Fall,,168,7
Modetrend im Winter,Modetrend im Winter,,164,4
Frühjahr,Frühjahr,,162,4
Schuhe,Schuhe,,161,27
Sonnenbrille,Sonnenbrille,,160,3
Styling,Styling,,157,3
Hose,Hose,,150,27
lieben,lieben,,150,4
Wetter,Wetter,,150,55
Stilberatung,Stilberatung,,149,8
Kombination,Kombination,,147,63
Charakter,Charakter,,147,24
Straight Leg Jeans,Straight Leg Jeans,,146,8
Gemüse,Gemüse,,145,11
Paris Frühjahr,Paris Frühjahr,,143,4
Week Paris,Week Paris,,139,4
tragen,tragen,,134,56
Modetrend im Herbst,Modetrend im Herbst,,131,8
Coronavirus,Coronavirus,,131,3
Zeiten,Zeiten,,131,27
Mango,Mango,,128,6
nexx GmbH,nexx GmbH,,126,4
Faux Fur Slides,Faux Fur Slides,,125,38
Natur,Natur,,124,74
Vermittlung,Vermittlung,,119,27
Herbst und Winter,Herbst und Winter,,118,8
Liebsten,Liebsten,,116,9
Let,Let,,111,41
Prinz William,Prinz William,,110,3
GmbH aktivieren,GmbH aktivieren,,110,4
Arm,Arm,,110,17
Stiefel,Stiefel,,109,8
Hailey Bieber,Hailey Bieber,,106,4
Fassungsvermögen,Fassungsvermögen,,106,7
Material,Material,,104,52
Blazer,Blazer,,103,27
Sachen Mode,Sachen Mode,,100,8
Dinge,Dinge,,770,12
Frau,Frau,,518,80
Partner,Partner,,394,8
Männer,Männer,,388,63
Bett,Bett,,385,5
Symptome,Symptome,,380,57
Gefühl,Gefühl,,363,36
Beziehung,Beziehung,,355,8
Egal,Egal,,333,62
Sexualität,Sexualität,,311,61
Vagina,Vagina,,290,5
Nebensache der Welt,Nebensache der Welt,,276,5
Mal,Mal,,268,15
schönste Nebensache,schönste Nebensache,,252,5
Leidenschaft,Leidenschaft,,244,8
Nebensache,Nebensache,,240,5
Sexstellungen,Sexstellungen,,189,5
neuesten Sex-News lesen,neuesten Sex-News lesen,,178,5
erotische Abenteuer,erotische Abenteuer,,178,5
Thema Sex Sexstellungen,Thema Sex Sexstellungen,,178,5
Sextoys,Sextoys,,177,5
Spaß,Spaß,,147,5
eigentlich,eigentlich,,130,24
stehen,stehen,,129,10
Orgasmus,Orgasmus,,114,5
Love,Love,,111,8
Lebens,Lebens,,110,24
Tod,Tod,,101,24
Teig,Teig,,781,15
Eier,Eier,,581,15
Butter,Butter,,567,15
Umluft,Umluft,,526,37
Stücke schneiden,Stücke schneiden,,488,37
Mehl,Mehl,,466,37
Reis,Reis,,456,15
Fußbereichsmenü Social Media,Fußbereichsmenü Social Media,,424,48
trennen,trennen,,368,15
Back­pulver mischen,Back­pulver mischen,,356,15
Eigelbe mit Currypulver,Eigelbe mit Currypulver,,356,15
Mehl und Back­pulver,Mehl und Back­pulver,,356,15
Eier trennen,Eier trennen,,356,15
Ofen,Ofen,,294,37
Topf,Topf,,258,37
glatten Teig verkneten,glatten Teig verkneten,,224,15
heizen,heizen,,200,37
Pfannkuchen,Pfannkuchen,,187,37
Inhalt teilenSchwierigkeiteinfachPro,Inhalt teilenSchwierigkeiteinfachPro,,187,15
Milch Eier Prise,Milch Eier Prise,,177,37
Backpulver mischen,Backpulver mischen,,168,15
Plätzchen,Plätzchen,,153,48
Wasser einweichen,Wasser einweichen,,152,15
warmem Wasser einweichen,warmem Wasser einweichen,,152,15
Wasser vermischen,Wasser vermischen,,152,15
Butter bestreichen,Butter bestreichen,,152,15
Spinat,Spinat,,150,37
