Id,Label,timeset,modularity_class
Abnehmen mit Intervallfasten,Abnehmen mit Intervallfasten,,2
Trennkost oder Diäten,Trennkost oder Diäten,,2
Abnehmen,Abnehmen,,2
Genuss,Genuss,,2
Genuss BMI,Genuss BMI,,2
grünen Bereich,grünen Bereich,,2
Monaten im Homeoffice,Monaten im Homeoffice,,2
BMI im grünen,BMI im grünen,,2
StartseiteErnährungAbnehmen Gesund abnehmen,StartseiteErnährungAbnehmen Gesund abnehmen,,2
StartseiteErnährungAbnehmen Gesund,StartseiteErnährungAbnehmen Gesund,,2
StartseiteAnzeigeAbnehmen mit Genuss,StartseiteAnzeigeAbnehmen mit Genuss,,2
Homeoffice diese Frage,Homeoffice diese Frage,,2
Zecken Herdenimmunität,Zecken Herdenimmunität,,10
Selbstversuch Reiseapotheke,Selbstversuch Reiseapotheke,,10
gehört rein Myth-Buster,gehört rein Myth-Buster,,10
ums Impfen,ums Impfen,,10
Medizinwissen Fragen,Medizinwissen Fragen,,10
aktuellen medizinischen Themen,aktuellen medizinischen Themen,,10
gehört rein,gehört rein,,10
StartseiteMedizinMedizinwissen Egal,StartseiteMedizinMedizinwissen Egal,,10
Bein,Bein,,11
Knie,Knie,,11
Rücken,Rücken,,11
Knie knacken,Knie knacken,,11
Professor Ostermeier,Professor Ostermeier,,11
knacken,knacken,,11
Ostermeier,Ostermeier,,11
Schmerzen hast.Unsere Knie,Schmerzen hast.Unsere Knie,,11
Professor,Professor,,11
Knacken Vorboten,Knacken Vorboten,,11
knirschen Kennst,knirschen Kennst,,11
Beine,Beine,,11
Boden,Boden,,11
Beinübung,Beinübung,,11
Arme und Beine,Arme und Beine,,11
Position,Position,,11
Beine trainieren,Beine trainieren,,11
Arme,Arme,,11
Frauen,Frauen,,3
Natürliche Verhütung,Natürliche Verhütung,,3
natürliche Verhütungsmethode,natürliche Verhütungsmethode,,3
StartseiteFamiliePartnerschaft und SexualitätNatürliche,StartseiteFamiliePartnerschaft und SexualitätNatürliche,,3
Methode,Methode,,3
setzen stattdessen,setzen stattdessen,,3
Verhütung,Verhütung,,3
Verhütungsmethoden beobachten Frauen,Verhütungsmethoden beobachten Frauen,,3
natürliche,natürliche,,3
Schwangerschaft,Schwangerschaft,,23
Schwangerschaftsdiabetes,Schwangerschaftsdiabetes,,23
Tina Grüter,Tina Grüter,,23
Geburt,Geburt,,23
Diagnose bedeutet Inhaltsverzeichnis,Diagnose bedeutet Inhaltsverzeichnis,,23
werdende Mamas erstmal,werdende Mamas erstmal,,23
werdende Mamas,werdende Mamas,,23
bedeutet Inhaltsverzeichnis,bedeutet Inhaltsverzeichnis,,23
Grüter,Grüter,,23
Babys riechen,Babys riechen,,3
Frauenprobleme lenken Spezielle,Frauenprobleme lenken Spezielle,,3
lenken Spezielle Informationen,lenken Spezielle Informationen,,3
wichtige Frauenprobleme lenken,wichtige Frauenprobleme lenken,,3
Bikinimedizin Frauenzeitschriften,Bikinimedizin Frauenzeitschriften,,3
Frauenzeitschriften und Fachmagazine,Frauenzeitschriften und Fachmagazine,,3
Spezielle Informationen,Spezielle Informationen,,3
Frau Folge,Frau Folge,,3
schwanger sein Bikinimedizin,schwanger sein Bikinimedizin,,3
Fachmagazine untersucht,Fachmagazine untersucht,,3
schafft Vertrauen Frauen,schafft Vertrauen Frauen,,3
Eindruck entscheidet Attraktivität,Eindruck entscheidet Attraktivität,,3
Attraktivität schafft Vertrauen,Attraktivität schafft Vertrauen,,3
entscheidet Attraktivität schafft,entscheidet Attraktivität schafft,,3
Vertrauen Frauen,Vertrauen Frauen,,3
Eindruck entscheidet,Eindruck entscheidet,,3
schafft Vertrauen,schafft Vertrauen,,3
ticken anders Folge,ticken anders Folge,,3
Männer lassen,Männer lassen,,3
Babys riechen toll,Babys riechen toll,,3
StartseiteNewsBabys riechen toll,StartseiteNewsBabys riechen toll,,3
Babys riechen Frauen,Babys riechen Frauen,,3
riechen toll,riechen toll,,3
Frauen fühlen sofort,Frauen fühlen sofort,,3
riechen,riechen,,3
StartseiteNewsBabys riechen,StartseiteNewsBabys riechen,,3
enthalten,enthalten,,4
StartseiteErnährungGesund essenGesunde Lebensmittel,StartseiteErnährungGesund essenGesunde Lebensmittel,,4
essenGesunde Lebensmittel,essenGesunde Lebensmittel,,4
StartseiteErnährungGesund essenGesunde,StartseiteErnährungGesund essenGesunde,,4
gesunde Lebensmittel,gesunde Lebensmittel,,4
Obst,Obst,,4
gesunde Lebensmittel bevorzugt,gesunde Lebensmittel bevorzugt,,4
Tipps,Tipps,,4
ausgewogene Ernährung,ausgewogene Ernährung,,4
Menü der Zukunft,Menü der Zukunft,,4
Utopie oder Wirklichkeit,Utopie oder Wirklichkeit,,4
Klima Utopie,Klima Utopie,,4
Menü,Menü,,4
Zukunft,Zukunft,,4
Ernährung in Deutschland,Ernährung in Deutschland,,4
Nutrition Hub,Nutrition Hub,,4
Starte rechtzeitig,Starte rechtzeitig,,5
Chirurgischer Eingriff Schritt,Chirurgischer Eingriff Schritt,,5
